source_id,ra,dec,parallax,phot_g_mean_mag,phot_rp_mean_mag,grvs_mag_nb_transits,teff_gspphot
3436666705221092480,92.14459831196983,29.17863059760309,1.8045813739016723,20.221865,19.264555,,
3436666705222647424,92.1360929141189,29.188252000821233,-0.9981761383453371,20.635826,18.931215,,
3436666735286111872,92.12139750127396,29.17638660675228,0.19711697310321263,17.889936,17.136591,,4772.8335
3436666735286119168,92.11418893371727,29.1836092083117,0.3503976369988132,17.834023,17.077467,,4745.0903
3436666735286119424,92.12918596290945,29.184112845126073,-0.3999657339100629,19.511244,18.603987,,
3436666735287502848,92.12345613005948,29.18963849208755,0.5350529596818839,17.097233,16.32865,,5136.5938
3436666739582383744,92.12205146775263,29.187786007699092,0.272731903211444,20.611692,19.675426,,
3436666739582582400,92.12387572579901,29.18043745383857,,20.664467,19.53846,,
3436666739582874368,92.12803308315246,29.187439893916807,3.043630713636552,13.594579,12.842769,10,4572.6924
5327839933505551104,131.49786183298457,-50.52867756260167,0.5104502550004318,17.549822,16.677206,,5084.6875
5327839933505553152,131.51033671943213,-50.5226853062746,0.1709840826330676,17.112307,15.964957,,
5327839963558972928,131.51922738095695,-50.511691369995,-0.04483303617666456,17.767096,16.544676,,9557.159
5327839963560308096,131.51937334204413,-50.52334135014582,0.0488977495234765,18.823269,17.693367,,4212.296
5327839963560312064,131.51903460950842,-50.5216643565244,0.6279374615320719,18.787281,17.775923,,4175.463
5327839963560320384,131.51419557877895,-50.518391052015666,1.780732889429375,19.937654,18.742922,,
5327839963560323712,131.52727582375542,-50.51620779868643,0.278223038338751,19.768848,18.83958,,
5327839963560336000,131.5251060661604,-50.510705368248495,-0.0754397448768798,19.291473,18.339634,,
5327839963560342400,131.52398340139214,-50.50750293652926,-0.10897614455405671,20.01035,19.02508,,
5327839963560343168,131.52135441572253,-50.5076017233813,0.4523597498655484,19.14252,18.159895,,
5327839963566143616,131.53306096888917,-50.51650116929257,0.8127612565296403,19.841969,18.875803,,
5327839967855372416,131.51504419803365,-50.51989006150909,3.8709050092707735,20.63726,19.386137,,
5327839967855379968,131.52176673971064,-50.51103144833572,-0.323479316846163,19.976736,19.037151,,
5327839967855399680,131.5213746456521,-50.51833760808317,0.4015091754318196,20.22852,19.196358,,
4041820965839043328,266.6860263208865,-33.783177683465034,-1.2422025692694922,20.573736,19.328815,,
4041820965839044096,266.68447721693883,-33.783088638647975,0.05704059539995239,20.147886,18.734394,,
4041820965839046016,266.67428433292054,-33.78740281542752,0.14285065165503835,20.291706,19.096619,,
4041820965839047808,266.68183952338984,-33.78123253395236,,20.781498,19.544798,,
4041820965839272192,266.6843567561194,-33.78367048353936,,20.921593,,,
4041820965839346432,266.6764310380616,-33.79356037030158,,20.870714,20.33356,,
4041820965839481984,266.6852452113826,-33.78921419763821,,20.968544,19.800959,,
4041820965889175040,266.6858094836586,-33.79460735226304,-0.036435704081451414,17.354362,15.907341,,
4041820965889184896,266.68549537035597,-33.79311581463973,1.0903933741411886,13.892787,13.345766,7,
4041820965889189632,266.68808390947896,-33.78960430963332,0.5575005958385675,16.433336,15.635831,,4761.726
4041820965889201408,266.6864643453862,-33.789384174892284,0.1950261943719252,17.136297,15.778831,,8357.378
4041820965889248640,266.67963175220035,-33.7869379800717,0.49952610616032755,15.84505,15.098834,,6696.8345
4041820965889264896,266.6784857008354,-33.78479124156174,0.30052845366344694,13.333673,12.687482,,8608.878
4041820965889844608,266.685013013644,-33.797627416539406,0.5774855074058902,14.912537,14.120911,13,6313.0723
4041820965889852416,266.6782622379993,-33.79400224173507,0.9332630032578325,17.437454,15.75634,,3639.9385
5328698136696796544,132.07403819188318,-48.03798074036809,0.5971721743610601,16.465214,15.659894,,4818.1455
5328698136696797184,132.06234227649674,-48.0294445492995,-0.051424331338790846,18.630898,17.699362,,3880.6
5328698136696798208,132.06638113442162,-48.0360418605635,0.3738527116875345,18.006119,17.204262,,3996.2124
5328698136696798464,132.05900135545076,-48.030275733744936,0.0991679819413787,16.933031,,,
5328698136696798592,132.06415550727303,-48.034889685814356,0.019419855998409185,19.237839,18.448776,,
5328698136696799104,132.06544163138727,-48.03844752801049,1.8787429450767634,17.488728,16.33026,,3511.2183
5328698136696975104,132.06607372255922,-48.039868113519255,,20.840158,19.825968,,
5328698136699100288,132.06574680294457,-48.02537887169474,,20.88031,19.943655,,
5328698166748666368,132.0144200414818,-48.047769734171446,0.4163665747795044,17.688099,16.871727,,4885.436
5328698166749337600,132.02276047520252,-48.058622518513396,0.0833315439774151,19.359665,18.55856,,
5328698166749338368,132.00960199642927,-48.05760263737495,0.27185599805540156,19.895988,18.79088,,
5328698166749344384,132.0220711980364,-48.05166474442979,-0.7667310741153162,20.139835,18.78941,,
5328698166749348480,132.0242472273713,-48.04944093009956,0.546558017167582,18.748226,17.834719,,3739.734
5328698166750174848,132.0137932071127,-48.063252452167355,0.3137308742905787,18.916208,18.053333,,3838.2786
5328047569393405056,130.73290820324036,-50.21492456229828,2.1471341406961275,20.456602,19.169271,,
5328047569393416448,130.73496793377564,-50.217692835863325,,21.084372,19.782959,,
5328047569393433344,130.7468468131383,-50.20762135349607,0.7987380188481017,20.405582,19.414183,,
5328047569393436416,130.74520791026097,-50.211325487510344,0.18679906364391782,20.272078,19.403276,,
5328047569393439488,130.74378393750615,-50.21489079365013,-1.3859308080147639,20.746914,19.952494,,
5328047569393445248,130.74665986913985,-50.21384188673481,,21.032013,19.984577,,
5328047569394460416,130.73819364268567,-50.21577773283046,,20.88759,19.610003,,
5328047569404548480,130.73668051174647,-50.20803145809687,0.057765998054924925,17.365705,16.261692,,
5328047569404550400,130.73882925078942,-50.20749814778691,0.23567019153293084,15.659659,14.635581,,6096.729
5328047599456935680,130.71489767133056,-50.218447081714054,0.20685939543575482,18.292402,17.35168,,4876.0635
5328047599457093248,130.72443132040348,-50.21296005969254,0.17734893998713697,19.79951,18.929688,,
5328047599457093504,130.70671600766505,-50.21281552428802,0.2718632514689292,19.930803,18.89709,,
5328047599457094912,130.7226080470975,-50.210268669672345,0.1907026671119089,19.800005,18.730116,,
5328047599457096704,130.71759528587552,-50.210794383661664,0.1269117703076574,18.573092,17.661688,,4365.665
5328047599457098368,130.71398385993655,-50.206159384747636,0.5004504719082675,19.521788,18.598484,,
200614456362800384,76.9838916340344,40.37156086969568,0.2765836270216155,16.952278,16.247633,,5276.858
200614456362800896,76.97307372528643,40.376355889565,0.2558526543646357,17.12039,16.397816,,5523.1343
200614456362801024,76.97300210762555,40.375935709331344,,21.110771,,,
200614456362802944,76.98060562521293,40.3664834082744,0.16796142206414635,18.468025,17.664581,,4139.8955
200614486422582528,76.96016337306915,40.36700218622088,0.1772005786801067,19.35279,18.517647,,
200614486422584704,76.95519071869973,40.369017615888424,1.195187824359623,19.23279,17.747768,,
200614486422593408,76.96675991477673,40.378180942990426,0.765163901964646,18.586004,17.781103,,4518.889
200614486422593536,76.95731876652432,40.378159932247065,1.0672952240998417,19.865183,18.407139,,
200614486422600960,76.95890353829145,40.385580596655004,0.6009365187828326,17.928703,17.104631,,4354.755
200614490718451968,76.96183174358217,40.37651394860384,0.9893330124944444,18.415136,17.347214,,
200614490718454656,76.95741357079599,40.377901948622494,,20.780684,,,
200614490718462464,76.95532484186441,40.36913385322353,,20.21457,,,
200614490722543360,76.96116790160102,40.37611897760745,1.1077234006783567,17.092432,16.051071,,4445.2437
200614490723411712,76.95689779860655,40.372941179250965,,20.97101,20.99715,,
200614520782332032,76.97276831400296,40.37851779633461,0.07989371358556627,19.681446,18.862474,,
5407781232077893504,149.4333936866642,-48.959984111607284,-0.43668017709073387,20.24764,19.310637,,
5407781232077894272,149.4331944191254,-48.95247896008323,-0.372577995841907,19.742928,18.58657,,
5407781262128317824,149.4460099345901,-48.955166646110825,0.13851267495315045,18.663157,17.829063,,4776.183
5407781262128325248,149.44792127746948,-48.95377973151387,0.5932252203242135,19.355846,18.446802,,
5407781262128355968,149.45096691228937,-48.949614809679524,0.562891470335507,18.61745,17.556587,,3967.9182
